Neuron1,Neuron2,BumpScore,Rank
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,32.64290343486714,1
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,30.624999999999993,2
n041_L_CA1_wire_3_cell_1,n086_R_CA1_wire_6_cell_2,27.30884041331802,3
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,26.843243243243244,4
n041_L_CA1_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,25.545675020210183,5
n097_R_CA1_wire_1_cell_1,n118_R_CA3_wire_6_cell_2,24.387096774193544,6
n086_R_CA1_wire_6_cell_2,n097_R_CA1_wire_1_cell_1,24.134403209628882,7
n014_L_CA3_wire_4_cell_2,n086_R_CA1_wire_6_cell_2,20.200445434298437,8
n041_L_CA1_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,19.280373831775698,9
n014_L_CA3_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,16.443606444977714,10
n041_L_CA1_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,14.336269628494826,11
n097_R_CA1_wire_1_cell_1,n106_R_CA3_wire_3_cell_2,12.368533561351,12
n010_L_CA3_wire_3_cell_2,n041_L_CA1_wire_3_cell_1,12.011024345429488,13
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,11.941647058823527,14
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,11.907100199071,15
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,11.311663479923515,16
n041_L_CA1_wire_3_cell_1,n105_R_CA3_wire_3_cell_1,11.270555810748734,17
n013_L_CA3_wire_4_cell_1,n041_L_CA1_wire_3_cell_1,11.179013735645121,18
n006_L_CA3_wire_2_cell_2,n041_L_CA1_wire_3_cell_1,10.842105263157892,19
n086_R_CA1_wire_6_cell_2,n118_R_CA3_wire_6_cell_2,10.502994011976046,20
n014_L_CA3_wire_4_cell_2,n106_R_CA3_wire_3_cell_2,9.28988116672668,21
n014_L_CA3_wire_4_cell_2,n082_R_CA1_wire_5_cell_2,8.005853658536584,22
n097_R_CA1_wire_1_cell_1,n105_R_CA3_wire_3_cell_1,7.645674740484425,23
n010_L_CA3_wire_3_cell_2,n014_L_CA3_wire_4_cell_2,7.244410761652138,24
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,7.136490250696378,25
n013_L_CA3_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,6.986638484185097,26
n010_L_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,6.959000586903662,27
n006_L_CA3_wire_2_cell_2,n014_L_CA3_wire_4_cell_2,6.4285507456203845,28
n014_L_CA3_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,6.360844529750478,29
n081_R_CA1_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,6.148244897959182,30
n086_R_CA1_wire_6_cell_2,n106_R_CA3_wire_3_cell_2,5.705735660847878,31
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,5.1733703190013856,32
n013_L_CA3_wire_4_cell_1,n014_L_CA3_wire_4_cell_2,4.189332717617177,33
n082_R_CA1_wire_5_cell_2,n086_R_CA1_wire_6_cell_2,4.111533586818756,34
n106_R_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,4.035688793718769,35
n010_L_CA3_wire_3_cell_2,n086_R_CA1_wire_6_cell_2,3.9668174962292584,36
n014_L_CA3_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,3.8970588235294104,37
n006_L_CA3_wire_2_cell_2,n118_R_CA3_wire_6_cell_2,3.8495626822157427,38
n081_R_CA1_wire_5_cell_1,n086_R_CA1_wire_6_cell_2,3.316088328075709,39
n086_R_CA1_wire_6_cell_2,n105_R_CA3_wire_3_cell_1,3.2566371681415918,40
n006_L_CA3_wire_2_cell_2,n010_L_CA3_wire_3_cell_2,3.150657229524773,41
n082_R_CA1_wire_5_cell_2,n118_R_CA3_wire_6_cell_2,3.0628100918399657,42
n005_L_CA3_wire_2_cell_1,n041_L_CA1_wire_3_cell_1,2.8828383705650458,43
n105_R_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,2.8114075436982517,44
n013_L_CA3_wire_4_cell_1,n118_R_CA3_wire_6_cell_2,2.671858691288638,45
n013_L_CA3_wire_4_cell_1,n086_R_CA1_wire_6_cell_2,2.61799953003838,46
n041_L_CA1_wire_3_cell_1,n117_R_CA3_wire_6_cell_1,2.569680905291058,47
n105_R_CA3_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,2.5684056913535196,48
n082_R_CA1_wire_5_cell_2,n106_R_CA3_wire_3_cell_2,2.4460328806290192,49
n006_L_CA3_wire_2_cell_2,n086_R_CA1_wire_6_cell_2,2.4437150028963117,50
n010_L_CA3_wire_3_cell_2,n106_R_CA3_wire_3_cell_2,2.128340301763315,51
n041_L_CA1_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,2.1064830865236983,52
n081_R_CA1_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,2.095848801889976,53
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,2.0631120783460277,54
n009_L_CA3_wire_3_cell_1,n041_L_CA1_wire_3_cell_1,1.8807590679798218,55
n081_R_CA1_wire_5_cell_1,n106_R_CA3_wire_3_cell_2,1.870082711317329,56
n005_L_CA3_wire_2_cell_1,n014_L_CA3_wire_4_cell_2,1.789108462814903,57
n042_L_CA1_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,1.6747461069735945,58
n097_R_CA1_wire_1_cell_1,n117_R_CA3_wire_6_cell_1,1.5951892726309236,59
n010_L_CA3_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,1.5717109598067205,60
n014_L_CA3_wire_4_cell_2,n117_R_CA3_wire_6_cell_1,1.5173132171838513,61
n010_L_CA3_wire_3_cell_2,n013_L_CA3_wire_4_cell_1,1.5123635669541367,62
n006_L_CA3_wire_2_cell_2,n106_R_CA3_wire_3_cell_2,1.5071806500377924,63
n009_L_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,1.4970278222042683,64
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,1.4825107810253941,65
n081_R_CA1_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,1.3941220798794276,66
n009_L_CA3_wire_3_cell_1,n010_L_CA3_wire_3_cell_2,1.2706135501031048,67
n009_L_CA3_wire_3_cell_1,n014_L_CA3_wire_4_cell_2,1.2556199250284963,68
n009_L_CA3_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,1.2514172466239581,69
n013_L_CA3_wire_4_cell_1,n081_R_CA1_wire_5_cell_1,1.0956363555693596,70
n082_R_CA1_wire_5_cell_2,n105_R_CA3_wire_3_cell_1,1.0823994726433748,71
n010_L_CA3_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,1.0598042769119245,72
n006_L_CA3_wire_2_cell_2,n013_L_CA3_wire_4_cell_1,1.0159042465978034,73
n006_L_CA3_wire_2_cell_2,n082_R_CA1_wire_5_cell_2,0.9495596023676679,74
n013_L_CA3_wire_4_cell_1,n105_R_CA3_wire_3_cell_1,0.9340871048226648,75
n013_L_CA3_wire_4_cell_1,n082_R_CA1_wire_5_cell_2,0.9119371124589163,76
n006_L_CA3_wire_2_cell_2,n009_L_CA3_wire_3_cell_1,0.8699542545728182,77
n013_L_CA3_wire_4_cell_1,n106_R_CA3_wire_3_cell_2,0.8355715942776122,78
n006_L_CA3_wire_2_cell_2,n105_R_CA3_wire_3_cell_1,0.8147282291057872,79
n005_L_CA3_wire_2_cell_1,n086_R_CA1_wire_6_cell_2,0.8084525002277068,80
n005_L_CA3_wire_2_cell_1,n118_R_CA3_wire_6_cell_2,0.804300340463959,81
n005_L_CA3_wire_2_cell_1,n010_L_CA3_wire_3_cell_2,0.7838439553497834,82
n086_R_CA1_wire_6_cell_2,n117_R_CA3_wire_6_cell_1,0.75594927913844,83
n117_R_CA3_wire_6_cell_1,n118_R_CA3_wire_6_cell_2,0.7395831763588965,84
n014_L_CA3_wire_4_cell_2,n042_L_CA1_wire_3_cell_2,0.733826938897614,85
n042_L_CA1_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,0.7062281411271485,86
n006_L_CA3_wire_2_cell_2,n081_R_CA1_wire_5_cell_1,0.694902032762813,87
n042_L_CA1_wire_3_cell_2,n086_R_CA1_wire_6_cell_2,0.6652627959946713,88
n006_L_CA3_wire_2_cell_2,n117_R_CA3_wire_6_cell_1,0.6008089607965147,89
n009_L_CA3_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,0.5807930712405536,90
n009_L_CA3_wire_3_cell_1,n013_L_CA3_wire_4_cell_1,0.5674558105919167,91
n106_R_CA3_wire_3_cell_2,n117_R_CA3_wire_6_cell_1,0.5620937393089297,92
n105_R_CA3_wire_3_cell_1,n117_R_CA3_wire_6_cell_1,0.5517105002966193,93
n009_L_CA3_wire_3_cell_1,n086_R_CA1_wire_6_cell_2,0.5249771085563129,94
n010_L_CA3_wire_3_cell_2,n117_R_CA3_wire_6_cell_1,0.5187939536011634,95
n005_L_CA3_wire_2_cell_1,n106_R_CA3_wire_3_cell_2,0.5179109585260581,96
n042_L_CA1_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,0.516162784006194,97
n009_L_CA3_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,0.5077390850856563,98
n009_L_CA3_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,0.49983500223077,99
n081_R_CA1_wire_5_cell_1,n117_R_CA3_wire_6_cell_1,0.4958696916812103,100
n042_L_CA1_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,0.494715277651881,101
n005_L_CA3_wire_2_cell_1,n006_L_CA3_wire_2_cell_2,0.4884788097329636,102
n009_L_CA3_wire_3_cell_1,n105_R_CA3_wire_3_cell_1,0.4800135241051803,103
n005_L_CA3_wire_2_cell_1,n082_R_CA1_wire_5_cell_2,0.47867805728812557,104
n010_L_CA3_wire_3_cell_2,n042_L_CA1_wire_3_cell_2,0.4630897861434393,105
n005_L_CA3_wire_2_cell_1,n009_L_CA3_wire_3_cell_1,0.43055068574156746,106
n005_L_CA3_wire_2_cell_1,n081_R_CA1_wire_5_cell_1,0.4082867783985104,107
n013_L_CA3_wire_4_cell_1,n117_R_CA3_wire_6_cell_1,0.40473413510257955,108
n082_R_CA1_wire_5_cell_2,n117_R_CA3_wire_6_cell_1,0.3977431006397696,109
n042_L_CA1_wire_3_cell_2,n106_R_CA3_wire_3_cell_2,0.37271356036625536,110
n005_L_CA3_wire_2_cell_1,n105_R_CA3_wire_3_cell_1,0.37187441509015473,111
n009_L_CA3_wire_3_cell_1,n117_R_CA3_wire_6_cell_1,0.36957789457320833,112
n005_L_CA3_wire_2_cell_1,n013_L_CA3_wire_4_cell_1,0.28895479678674185,113
n013_L_CA3_wire_4_cell_1,n042_L_CA1_wire_3_cell_2,0.28330098639975054,114
n005_L_CA3_wire_2_cell_1,n117_R_CA3_wire_6_cell_1,0.26083620144943775,115
n042_L_CA1_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,0.19971698970517615,116
n006_L_CA3_wire_2_cell_2,n042_L_CA1_wire_3_cell_2,0.18924350878825863,117
n005_L_CA3_wire_2_cell_1,n042_L_CA1_wire_3_cell_2,0.1779264977204116,118
n042_L_CA1_wire_3_cell_2,n117_R_CA3_wire_6_cell_1,0.13281011889232305,119
n009_L_CA3_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,0.060418327970501604,120
