Neuron1,Neuron2,BumpScore,Rank
n077_R_CA1_wire_4_cell_1,n109_R_CA3_wire_4_cell_1,13.658536585365855,1
n041_L_CA1_wire_3_cell_1,n077_R_CA1_wire_4_cell_1,13.040000000000003,2
n097_R_CA1_wire_1_cell_1,n109_R_CA3_wire_4_cell_1,12.944000000000003,3
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,12.000000000000004,4
n077_R_CA1_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,11.959183673469388,5
n041_L_CA1_wire_3_cell_1,n109_R_CA3_wire_4_cell_1,11.900293255131965,6
n005_L_CA3_wire_2_cell_1,n041_L_CA1_wire_3_cell_1,11.412639405204462,7
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,10.846424384525205,8
n005_L_CA3_wire_2_cell_1,n109_R_CA3_wire_4_cell_1,10.57510729613734,9
n005_L_CA3_wire_2_cell_1,n077_R_CA1_wire_4_cell_1,10.310618066561016,10
n014_L_CA3_wire_4_cell_2,n109_R_CA3_wire_4_cell_1,9.206171107994392,11
n014_L_CA3_wire_4_cell_2,n077_R_CA1_wire_4_cell_1,8.983316977428853,12
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,6.800000000000001,13
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,5.7663671373555845,14
n013_L_CA3_wire_4_cell_1,n109_R_CA3_wire_4_cell_1,4.471482889733839,15
n042_L_CA1_wire_3_cell_2,n109_R_CA3_wire_4_cell_1,4.371257485029941,16
n005_L_CA3_wire_2_cell_1,n014_L_CA3_wire_4_cell_2,4.2707423580786035,17
n013_L_CA3_wire_4_cell_1,n041_L_CA1_wire_3_cell_1,4.196610169491526,18
n009_L_CA3_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,3.8181818181818183,19
n013_L_CA3_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,3.4615907545887157,20
n042_L_CA1_wire_3_cell_2,n077_R_CA1_wire_4_cell_1,3.2678571428571432,21
n006_L_CA3_wire_2_cell_2,n014_L_CA3_wire_4_cell_2,3.1829683216067126,22
n013_L_CA3_wire_4_cell_1,n077_R_CA1_wire_4_cell_1,3.147679324894516,23
n041_L_CA1_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,3.025089605734766,24
n042_L_CA1_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,3.0055658627087203,25
n013_L_CA3_wire_4_cell_1,n014_L_CA3_wire_4_cell_2,2.137535816618912,26
n005_L_CA3_wire_2_cell_1,n006_L_CA3_wire_2_cell_2,2.082416168344563,27
n009_L_CA3_wire_3_cell_1,n041_L_CA1_wire_3_cell_1,1.9790636813027045,28
n006_L_CA3_wire_2_cell_2,n077_R_CA1_wire_4_cell_1,1.7379652605459066,29
n009_L_CA3_wire_3_cell_1,n109_R_CA3_wire_4_cell_1,1.7032850582832926,30
n006_L_CA3_wire_2_cell_2,n041_L_CA1_wire_3_cell_1,1.7008797653958951,31
n006_L_CA3_wire_2_cell_2,n013_L_CA3_wire_4_cell_1,1.6193033812425122,32
n009_L_CA3_wire_3_cell_1,n077_R_CA1_wire_4_cell_1,1.5075376884422111,33
n006_L_CA3_wire_2_cell_2,n009_L_CA3_wire_3_cell_1,1.378555763307513,34
n009_L_CA3_wire_3_cell_1,n013_L_CA3_wire_4_cell_1,1.3197376398611032,35
n006_L_CA3_wire_2_cell_2,n109_R_CA3_wire_4_cell_1,1.2909441233140648,36
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,1.2458738891239935,37
n005_L_CA3_wire_2_cell_1,n013_L_CA3_wire_4_cell_1,1.1832351159332484,38
n005_L_CA3_wire_2_cell_1,n009_L_CA3_wire_3_cell_1,0.7770075168632589,39
n014_L_CA3_wire_4_cell_2,n042_L_CA1_wire_3_cell_2,0.7644433575839094,40
n009_L_CA3_wire_3_cell_1,n014_L_CA3_wire_4_cell_2,0.628350639942042,41
n005_L_CA3_wire_2_cell_1,n042_L_CA1_wire_3_cell_2,0.556629765065371,42
n013_L_CA3_wire_4_cell_1,n042_L_CA1_wire_3_cell_2,0.4428833298574133,43
n006_L_CA3_wire_2_cell_2,n042_L_CA1_wire_3_cell_2,0.1556694176086364,44
n009_L_CA3_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,0.1363235674143068,45
