Neuron1,Neuron2,BumpScore,Rank
n097_R_CA1_wire_1_cell_1,n109_R_CA3_wire_4_cell_1,10.524590163934427,1
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,8.328267477203646,2
n077_R_CA1_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,8.049382716049383,3
n041_L_CA1_wire_3_cell_1,n077_R_CA1_wire_4_cell_1,7.851351351351352,4
n077_R_CA1_wire_4_cell_1,n109_R_CA3_wire_4_cell_1,7.561248999199358,5
n041_L_CA1_wire_3_cell_1,n109_R_CA3_wire_4_cell_1,7.503355704697988,6
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,6.508710801393728,7
n005_L_CA3_wire_2_cell_1,n041_L_CA1_wire_3_cell_1,5.754789272030652,8
n014_L_CA3_wire_4_cell_2,n077_R_CA1_wire_4_cell_1,5.59748427672956,9
n014_L_CA3_wire_4_cell_2,n109_R_CA3_wire_4_cell_1,5.44337811900192,10
n005_L_CA3_wire_2_cell_1,n109_R_CA3_wire_4_cell_1,5.068551236749117,11
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,5.0149253731343295,12
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,4.832000000000002,13
n005_L_CA3_wire_2_cell_1,n077_R_CA1_wire_4_cell_1,4.619535887749597,14
n005_L_CA3_wire_2_cell_1,n014_L_CA3_wire_4_cell_2,1.186767942074253,15
