Neuron1,Neuron2,BumpScore,Rank
n081_R_CA1_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,19.938566552901026,1
n010_L_CA3_wire_3_cell_2,n017_L_CA3_wire_5_cell_1,18.943820224719097,2
n013_L_CA3_wire_4_cell_1,n017_L_CA3_wire_5_cell_1,17.647940074906366,3
n017_L_CA3_wire_5_cell_1,n042_L_CA1_wire_3_cell_2,17.261904761904763,4
n078_R_CA1_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,16.444444444444446,5
n081_R_CA1_wire_5_cell_1,n085_R_CA1_wire_6_cell_1,15.457627118644064,6
n017_L_CA3_wire_5_cell_1,n081_R_CA1_wire_5_cell_1,15.312499999999998,7
n085_R_CA1_wire_6_cell_1,n118_R_CA3_wire_6_cell_2,15.25461254612546,8
n078_R_CA1_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,15.076923076923075,9
n017_L_CA3_wire_5_cell_1,n078_R_CA1_wire_4_cell_2,14.857142857142856,10
n017_L_CA3_wire_5_cell_1,n085_R_CA1_wire_6_cell_1,14.722466960352422,11
n078_R_CA1_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,14.32967032967033,12
n078_R_CA1_wire_4_cell_2,n106_R_CA3_wire_3_cell_2,13.921568627450979,13
n078_R_CA1_wire_4_cell_2,n085_R_CA1_wire_6_cell_1,13.870129870129873,14
n077_R_CA1_wire_4_cell_1,n081_R_CA1_wire_5_cell_1,13.730886850152903,15
n042_L_CA1_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,13.2463768115942,16
n081_R_CA1_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,13.135135135135137,17
n081_R_CA1_wire_5_cell_1,n110_R_CA3_wire_4_cell_2,12.969696969696967,18
n017_L_CA3_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,12.732824427480917,19
n077_R_CA1_wire_4_cell_1,n105_R_CA3_wire_3_cell_1,12.357600465928945,20
n081_R_CA1_wire_5_cell_1,n109_R_CA3_wire_4_cell_1,11.416856492027334,21
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,11.246753246753247,22
n106_R_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,11.219512195121952,23
n017_L_CA3_wire_5_cell_1,n077_R_CA1_wire_4_cell_1,11.159663865546216,24
n010_L_CA3_wire_3_cell_2,n078_R_CA1_wire_4_cell_2,11.14285714285714,25
n077_R_CA1_wire_4_cell_1,n082_R_CA1_wire_5_cell_2,10.959395656279508,26
n017_L_CA3_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,10.705882352941174,27
n078_R_CA1_wire_4_cell_2,n109_R_CA3_wire_4_cell_1,10.490797546012272,28
n105_R_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,10.399999999999999,29
n017_L_CA3_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,10.243654822335023,30
n010_L_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,10.206896551724133,31
n078_R_CA1_wire_4_cell_2,n110_R_CA3_wire_4_cell_2,10.146892655367227,32
n085_R_CA1_wire_6_cell_1,n106_R_CA3_wire_3_cell_2,10.120603015075378,33
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,10.111111111111109,34
n105_R_CA3_wire_3_cell_1,n109_R_CA3_wire_4_cell_1,10.110122829309613,35
n042_L_CA1_wire_3_cell_2,n078_R_CA1_wire_4_cell_2,9.999999999999998,36
n017_L_CA3_wire_5_cell_1,n041_L_CA1_wire_3_cell_1,9.847649918962723,37
