Neuron1,Neuron2,BumpScore,Rank
n009_L_CA3_wire_3_cell_1,n041_L_CA1_wire_3_cell_1,26.419753086419757,1
n006_L_CA3_wire_2_cell_2,n009_L_CA3_wire_3_cell_1,25.789473684210524,2
n006_L_CA3_wire_2_cell_2,n010_L_CA3_wire_3_cell_2,24.137931034482765,3
n006_L_CA3_wire_2_cell_2,n041_L_CA1_wire_3_cell_1,24.046901172529314,4
n081_R_CA1_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,22.488670423210646,5
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,21.2752808988764,6
n009_L_CA3_wire_3_cell_1,n010_L_CA3_wire_3_cell_2,19.38775510204082,7
n010_L_CA3_wire_3_cell_2,n041_L_CA1_wire_3_cell_1,17.384835479256083,8
n009_L_CA3_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,17.217391304347828,9
n009_L_CA3_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,14.258258258258254,10
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,11.342601787487588,11
n006_L_CA3_wire_2_cell_2,n081_R_CA1_wire_5_cell_1,11.275053304904048,12
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,10.670065549890749,13
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,9.876965140123033,14
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,9.6496872207328,15
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,9.531249999999998,16
n009_L_CA3_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,9.374613003095979,17
n006_L_CA3_wire_2_cell_2,n082_R_CA1_wire_5_cell_2,8.965517241379311,18
n010_L_CA3_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,8.42956120092379,19
n041_L_CA1_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,7.978768577494692,20
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,7.8023715415019765,21
